entry_time,exit_time,direction,entry_price,exit_price,quantity,lots,initial_stop,final_stop,gross_pnl,costs,net_pnl,return_pct,r_multiple,exit_reason,bars_held,mae,mfe,side,cum_pnl,equity_after
2017-07-25 00:00:00+05:30,2017-08-03 00:00:00+05:30,1,10012.551914648437,10010.549404265506,75,1.0,9904.645415615421,10012.551914648437,-150.1882787197701,244.80548267700232,-394.9937613967724,-0.0004352430594170464,-0.04880691647385321,stop,7,-68.05191464843665,125.29769472656335,LONG,-92870.44431581312,907129.5556841869
2018-01-23 00:00:00+05:30,2018-01-31 00:00:00+05:30,1,10999.599870703125,10997.399950728985,75,1.0,10862.794533244829,10999.599870703125,-164.9939980605268,264.28564012778986,-429.27963818831665,-0.0004732285873593214,-0.04183848828940895,stop,5,-20.300066015624907,171.9499339843751,LONG,-93299.72395400144,906700.2760459986
2018-03-07 00:00:00+05:30,2018-03-12 00:00:00+05:30,-1,10230.903605273437,10425.187741348487,75,1.0,10423.103120724343,10423.103120724343,-14571.310205628743,249.75490843154583,-14821.065114060288,-0.016346157055000598,-1.0281722149881332,stop,3,-202.74678535156272,89.35380058593728,SHORT,-108120.78906806173,891879.2109319383
2018-03-20 00:00:00+05:30,2018-04-03 00:00:00+05:30,-1,10049.539494726563,10242.14072903144,75,1.0,10240.092710489342,10240.092710489342,-14445.09257286577,246.16969422083287,-14691.262267086602,-0.0164722555330508,-1.0279726642784406,stop,8,-205.81011464843687,97.63910410156313,SHORT,-122812.05133514832,877187.9486648517
2018-07-24 00:00:00+05:30,2018-09-05 00:00:00+05:30,1,11111.2218,11512.546639453125,75,1.0,10973.432016512013,11111.2218,30099.36295898442,273.1953564679132,29826.167602516507,0.03400202618824649,2.886151822242282,supertrend_flip,29,-18.721799999999348,648.9783953125007,LONG,-92985.88373263182,907014.1162673682
2018-10-05 00:00:00+05:30,2018-10-15 00:00:00+05:30,-1,10511.996789453126,10514.099188811017,75,1.0,10767.588930957902,10511.996789453126,-157.67995184182837,254.70391436661112,-412.3838662084395,-0.00045466091300267884,-0.021512600180405454,stop,6,-28.65360117187447,373.39718007812553,SHORT,-93398.26759884026,906601.7324011597
2018-10-29 00:00:00+05:30,2018-10-31 00:00:00+05:30,-1,10076.083989453125,10344.141747633856,75,1.0,10342.073332967262,10342.073332967262,-20104.331863554762,246.92904905574687,-20351.26091261051,-0.02244785133898833,-1.0201541983468667,stop,2,-319.91601054687453,55.73438007812547,SHORT,-113749.52851145077,886250.4714885493
2019-03-18 00:00:00+05:30,2019-05-08 00:00:00+05:30,1,11476.144379296875,11476.404455273438,75,1.0,11309.147890518794,11476.144379296875,19.5056982422102,273.73308386307525,-254.22738562086505,-0.00028685726417032413,-0.0202980224299769,supertrend_flip,31,-164.54476992187483,380.00601132812517,LONG,-114003.75589707163,885996.2441029283
2019-06-04 00:00:00+05:30,2019-06-07 00:00:00+05:30,1,12055.060920703125,11807.708907708397,75,1.0,11810.070921892775,11810.070921892775,-18551.40097460462,281.0451738722845,-18832.446148476905,-0.02125567266658649,-1.0249368676232027,stop,2,-285.5609207031248,40.13927460937521,LONG,-132836.20204554853,867163.7979544515
2019-07-22 00:00:00+05:30,2019-09-23 00:00:00+05:30,-1,11390.571039453125,11545.008735351563,75,1.0,11581.087289263416,11390.571039453125,-11582.82719238282,272.5213969191092,-11855.34858930193,-0.013671406275570378,-0.8296999058160517,supertrend_flip,41,-7.579351171874805,753.4206488281252,SHORT,-144691.55063485046,855308.4493651495
2019-10-30 00:00:00+05:30,2019-12-10 00:00:00+05:30,1,11886.277170703124,11883.899915268983,75,1.0,11645.55039378371,11886.277170703124,-178.2941575605946,281.7849047846755,-460.07906234527013,-0.0005379101103078809,-0.02548278000660668,stop,28,-101.82697539062428,272.5226339843757,LONG,-145151.62969719572,854848.3703028043
2019-12-19 00:00:00+05:30,2020-01-06 00:00:00+05:30,1,12225.845070703124,12060.220788791845,75,1.0,12062.633315454936,12062.633315454936,-12421.82114334596,285.77457740067746,-12707.595720746638,-0.014865321339087722,-1.0381274887479994,stop,11,-251.6448753906243,68.05531992187571,LONG,-157859.22541794236,842140.7745820576
2020-03-02 00:00:00+05:30,2020-03-05 00:00:00+05:30,-1,11385.072139453125,11387.349153881016,75,1.0,11626.873884734281,11385.072139453125,-170.7760820918338,271.9381807282377,-442.7142628200715,-0.0005257010183835171,-0.024411969527917885,stop,3,-47.92786054687531,348.8221394531247,SHORT,-158301.93968076244,841698.0603192375
